start_time,end_time,activity
1322443679,1322471891,5
1322472084,1322472216,8
1322472344,1322472780,4
1322472863,1322473380,0
1322473788,1322473873,1
1322473901,1322481907,7
1322481964,1322481991,8
1322482171,1322483349,2
1322483920,1322486500,7
1322486558,1322486827,8
1322486831,1322489040,3
1322489099,1322489189,1
1322489221,1322508000,7
1322508055,1322508059,6
1322508075,1322528760,7
1322529360,1322562660,5
1322562715,1322563015,8
1322563058,1322563734,1
1322563797,1322563873,4
1322564908,1322565480,0
1322565541,1322565720,1
1322565758,1322565899,7
1322569529,1322569532,6
1322569538,1322575946,7
1322576008,1322576037,8
1322576073,1322577954,3
1322578191,1322578254,1
1322578324,1322579878,7
1322579880,1322580687,8
1322580857,1322582887,7
1322582938,1322582969,8
1322584980,1322589442,7
1322589735,1322594618,2
1322594880,1322612387,7
1322612553,1322644051,5
1322644267,1322644439,8
1322644485,1322644713,4
1322644979,1322645700,0
1322645970,1322646073,1
1322646098,1322654699,7
1322654727,1322654731,6
1322654738,1322658574,7
1322658676,1322658708,8
1322658825,1322660049,7
1322660382,1322661624,3
1322662308,1322667551,7
1322667601,1322667624,8
1322667665,1322667669,6
1322667675,1322672438,7
1322672504,1322672507,8
1322672514,1322675000,7
1322675828,1322675854,8
1322675859,1322678230,7
1322678256,1322678281,8
1322678804,1322679912,2
1322680419,1322680428,1
1322680443,1322699667,7
1322699872,1322733045,5
1322733303,1322733332,1
1322733517,1322734342,4
1322734625,1322735389,0
1322735406,1322746142,7
1322746177,1322747702,3
1322748540,1322753177,7
1322753195,1322753224,8
1322753223,1322754400,7
1322756243,1322756833,1
1322756969,1322761791,2
1322762103,1322763034,7
1322764201,1322779972,7
1322779980,1322780008,1
1322780072,1322785112,7
1322785124,1322785137,1
1322785149,1322788097,7
1322788173,1322788436,1
1322788555,1322824519,5
1322824560,1322824840,8
1322824879,1322825140,4
1322825867,1322833589,7
1322833620,1322835600,3
1322835845,1322837712,7
1322837762,1322837875,1
1322837880,1322840165,7
1322840247,1322840847,8
1322840859,1322851148,7
1322851244,1322851250,6
1322851274,1322857569,7
1322857629,1322858677,8
1322858791,1322872868,7
1322873222,1322909780,5
1322909835,1322909955,8
1322909973,1322910119,1
1322910216,1322910446,4
1322910635,1322911170,0
1322911290,1322915316,7
1322915340,1322915399,1
1322915388,1322917280,7
1322917870,1322918083,1
1322918291,1322930917,2
1322931014,1322952804,7
1322952840,1322952891,8
1322952918,1322964973,7
1322965157,1322998669,5
1322998785,1322999144,8
1322999171,1322999248,1
1322999456,1322999695,4
1322999768,1322999988,0
1323000053,1323003490,7
1323003612,1323003822,8
1323004310,1323012661,2
1323012840,1323015939,7
1323016023,1323016028,6
1323016036,1323017036,7
1323017100,1323017159,1
1323018508,1323021472,7
1323021486,1323021573,8
1323021593,1323021599,6
1323021604,1323033659,7
1323033670,1323033730,8
1323033739,1323044889,7
1323045094,1323045099,1
1323045310,1323082135,5
1323082381,1323082411,8
1323082667,1323082675,1
1323082883,1323083336,4
1323083689,1323084277,0
1323089189,1323091606,7
1323091716,1323091722,1
1323092287,1323093306,2
1323093471,1323096059,3
1323096145,1323096239,1
1323096240,1323096256,8
1323096296,1323097330,7
1323097592,1323099392,8
1323099435,1323101672,7
1323101827,1323107836,2
1323108102,1323109442,7
1323109451,1323109456,6
1323109462,1323112039,7
1323112052,1323112067,1
1323112092,1323112132,8
1323112140,1323115585,7
1323115595,1323115603,8
1323115604,1323115620,1
1323115634,1323128304,7
1323128341,1323128441,8
1323128557,1323162440,5
1323166080,1323166133,8
1323166189,1323166305,1
1323166339,1323167157,4
1323167419,1323167726,0
1323167974,1323178670,7
1323178853,1323180958,3
1323181115,1323181232,1
1323181306,1323187864,7
1323187984,1323188344,8
1323188374,1323191186,7
1323191223,1323191235,1
1323191256,1323195753,7
1323195770,1323195775,6
1323195956,1323195980,1
1323196828,1323212858,7
1323212867,1323212877,1
1323212890,1323215690,7
1323215849,1323215873,8
1323215996,1323251140,5
1323251175,1323251366,8
1323251438,1323252259,1
1323252351,1323252692,4
1323252737,1323253204,0
1323253378,1323262570,7
1323263014,1323265170,3
1323265319,1323268083,7
1323268283,1323268301,1
1323268302,1323268306,8
1323268335,1323270688,7
1323270926,1323271269,1
1323271545,1323277956,2
1323278096,1323278099,1
1323278100,1323278103,8
1323278151,1323282106,7
1323282235,1323282526,6
1323286670,1323286698,6
1323286756,1323286784,8
1323286829,1323286955,7
1323287543,1323296370,7
1323296380,1323296396,8
1323296416,1323304352,7
1323304781,1323339269,5
1323339457,1323339468,1
1323339469,1323339478,8
1323339482,1323339493,1
1323339562,1323339857,4
1323339912,1323340441,0
1323340569,1323348079,7
1323349489,1323349501,1
1323349803,1323357701,2
1323357867,1323378803,7
1323378815,1323378829,1
1323378854,1323382357,7
1323382449,1323382467,1
1323382475,1323388987,7
1323389064,1323389143,1
1323389802,1323424147,5
1323424316,1323424347,8
1323424350,1323424370,1
1323424498,1323424701,4
1323424813,1323425295,0
1323425375,1323430377,7
1323430401,1323430935,1
1323431056,1323444836,2
1323445553,1323446392,7
1323446497,1323446697,8
1323446798,1323449959,7
1323449965,1323449967,1
1323450138,1323451143,7
1323451922,1323452916,2
1323454794,1323461071,7
1323461077,1323461090,1
1323461099,1323472581,7
1323472591,1323472609,1
1323472625,1323474373,7
1323474647,1323505577,5
1323505680,1323506148,8
1323506236,1323506787,1
1323506864,1323507162,4
1323507318,1323507730,0
1323507800,1323516849,7
1323517974,1323518019,1
1323518643,1323533223,2
1323533483,1323544611,7
1323544914,1323544996,1
1323545140,1323561365,2
1323561701,1323566789,7
1323566843,1323566924,1
1323567075,1323601054,5
1323601097,1323601287,8
1323601345,1323601359,1
1323601376,1323602322,4
1323602517,1323603009,0
1323603169,1323609978,7
1323610452,1323613577,3
1323613739,1323613814,8
1323614494,1323614610,1
1323614631,1323636108,7
